SEXO,ADH,PD,CSAT,AHT,email_identifier,MOTIVO BAJA,ESTADO
M,0.829657,0.0,0.598394,434.5,34,NO ESPECIFICADO,0
M,0.886257,8.280699,0.650463,370.26087,34,NO ESPECIFICADO,0
M,0.99697,7.067093,0.518519,374.0,34,NO ESPECIFICADO,0
F,0.82766,2.502669,0.614583,586.260714,35,NO ESPECIFICADO,0
F,0.876768,4.334236,0.380952,557.762032,35,NO ESPECIFICADO,0
M,0.0,1.910828,1.0,873.333333,36,NO ESPECIFICADO,0
F,0.357143,2.590629,0.25,477.394737,37,NO ESPECIFICADO,0
M,1.0,1.65744,0.333333,495.969697,38,NO ESPECIFICADO,0
M,0.98805,4.467286,0.541126,491.70227,38,NO ESPECIFICADO,0
M,0.95125,4.955078,0.56701,548.415094,38,NO ESPECIFICADO,0
F,0.994231,2.642215,0.448718,643.938597,39,CONTRATADO,1
F,0.941176,4.746711,0.506329,584.871849,39,CONTRATADO,1
F,0.925225,4.45727,0.554878,617.892241,39,CONTRATADO,1
F,0.943333,4.356581,0.59375,571.11943,39,CONTRATADO,1
F,0.976296,4.745293,0.606195,741.577815,39,CONTRATADO,1
M,0.5,0.0,0.0,953.0,40,RENUNCIA,0
F,0.99596,2.437525,0.508475,894.363636,41,CONTRATADO,1
F,0.997887,3.692197,0.65283,790.040052,41,CONTRATADO,1
M,0.911641,4.82991,4.390671,282.668806,42,BAJO PERFORMANCE,0
M,0.860484,3.581182,3.78,212.714859,42,BAJO PERFORMANCE,0
F,0.0,0.0,4.555556,348.959184,43,RENUNCIA VOLUNTARIA,0
F,0.779628,4.512276,3.983871,239.234405,43,RENUNCIA VOLUNTARIA,0
F,0.456193,4.166569,4.341772,254.215385,43,RENUNCIA VOLUNTARIA,0
F,0.367092,3.190099,4.0,236.395833,43,RENUNCIA VOLUNTARIA,0
M,0.0,0.0,4.0,416.6,44,DESVINCULACIÓN/AUSENTISMO,0
M,0.927146,3.186013,4.406593,315.512195,44,DESVINCULACIÓN/AUSENTISMO,0
M,0.945491,3.314158,4.186441,270.052147,44,DESVINCULACIÓN/AUSENTISMO,0
M,0.998987,3.004038,4.134615,260.273381,44,DESVINCULACIÓN/AUSENTISMO,0
F,0.960052,0.0,4.224719,317.586716,45,BAJO PERFOMANCE,0
F,0.995673,2.762148,4.082759,244.182403,45,BAJO PERFOMANCE,0
F,0.950459,3.607458,4.0,218.428899,45,BAJO PERFOMANCE,0
F,0.967077,5.049994,3.733333,209.60396,45,BAJO PERFOMANCE,0
F,0.921058,3.469949,3.8,204.502183,45,BAJO PERFOMANCE,0
F,0.707674,8.209471,3.777778,195.092308,45,BAJO PERFOMANCE,0
F,0.949537,0.0,0.504167,513.0,46,NO ESPECIFICADO,0
F,0.820208,5.54091,0.608696,445.75,46,NO ESPECIFICADO,0
F,0.0,0.0,0.0,0.0,46,NO ESPECIFICADO,0
M,0.979798,2.396487,0.413793,487.671141,47,NO ESPECIFICADO,0
M,1.0,4.007177,0.621053,504.564437,47,NO ESPECIFICADO,0
M,0.863889,3.43823,0.497076,513.84878,48,NO ESPECIFICADO,0
M,0.997222,1.972934,0.75,493.02381,49,NO ESPECIFICADO,0
M,0.85625,4.498114,0.423581,470.5616,49,NO ESPECIFICADO,0
M,0.451754,0.0,0.0,615.795455,49,NO ESPECIFICADO,0
M,1.0,2.700783,0.630435,556.875,50,NO ESPECIFICADO,0
M,0.99955,3.667038,0.515837,468.130435,50,NO ESPECIFICADO,0
M,0.999845,0.0,2.266667,0.0,51,NO ESPECIFICADO,0
M,0.95204,0.0,2.56,0.0,51,NO ESPECIFICADO,0
M,0.84344,0.0,2.37931,0.0,51,NO ESPECIFICADO,0
M,0.606091,2.139312,2.5,0.0,51,NO ESPECIFICADO,0
F,0.999722,0.0,4.172414,0.0,52,NO ESPECIFICADO,0
F,0.958342,0.0,4.043478,0.0,52,NO ESPECIFICADO,0
F,0.7775,0.0,4.408163,0.0,52,NO ESPECIFICADO,0
F,0.762714,6.50432,4.631579,0.0,52,NO ESPECIFICADO,0
F,0.916117,3.495295,4.267081,240.902174,45,BAJO PERFOMANCE,0
F,0.852843,4.022229,3.603448,233.914286,45,BAJO PERFOMANCE,0
F,0.907746,3.07415,4.4875,291.469388,53,BAJO PERFOMANCE,0
F,0.744609,3.712134,4.241758,254.331349,53,BAJO PERFOMANCE,0
F,0.689877,3.959751,4.333333,319.2,53,BAJO PERFOMANCE,0
F,0.991311,2.986774,4.321101,264.775343,54,CONTRATADO,1
F,0.89449,4.322277,4.220441,223.18798,54,CONTRATADO,1
F,0.770722,6.838422,4.091549,145.367876,54,CONTRATADO,1
F,0.921183,4.133549,3.896907,179.757019,54,CONTRATADO,1
F,0.906883,4.335152,4.309353,199.561297,54,CONTRATADO,1
F,0.745042,3.752137,4.514286,237.57551,54,CONTRATADO,1
F,0.481615,5.732348,4.605263,182.674419,54,CONTRATADO,1
M,0.978038,0.0,4.283186,326.72997,55,BAJO PERFOMANCE,0
M,0.973833,2.911717,4.4,324.310811,55,BAJO PERFOMANCE,0
M,0.996429,5.647786,0.5,393.941799,50,NO ESPECIFICADO,0
M,0.922321,0.0,0.492228,618.952381,56,NO ESPECIFICADO,0
M,0.910526,3.58427,0.542125,702.25,56,NO ESPECIFICADO,0
M,0.8975,4.681732,0.537954,571.636364,56,NO ESPECIFICADO,0
M,0.891026,5.013346,0.494465,563.245142,56,NO ESPECIFICADO,0
M,0.965409,2.467141,3.769231,282.021858,55,BAJO PERFOMANCE,0
M,0.781736,1.666667,3.4,248.545455,55,BAJO PERFOMANCE,0
F,0.0,0.0,3.833333,429.97561,57,BAJO PERFOMANCE,0
F,0.932287,4.002021,3.747619,262.359301,57,BAJO PERFOMANCE,0
F,0.950451,3.633251,4.1375,244.330798,57,BAJO PERFOMANCE,0
M,0.736715,4.683996,0.516667,761.994709,56,NO ESPECIFICADO,0
M,0.752516,4.807327,0.6,545.725979,56,NO ESPECIFICADO,0
M,0.71,6.095392,0.578947,540.5625,56,NO ESPECIFICADO,0
F,0.873899,3.666833,0.531073,561.217021,58,NO ESPECIFICADO,0
M,0.997778,2.384704,0.611765,664.727273,59,CONTRATADO,1
M,0.974653,4.222181,0.676845,596.72,59,CONTRATADO,1
M,0.0,0.0,4.666667,405.3,60,CONTRATADO,1
M,0.893211,3.004328,4.2,308.896755,60,CONTRATADO,1
M,0.965136,2.845202,4.056,289.599515,60,CONTRATADO,1
M,0.86904,3.866965,4.140845,322.654321,60,CONTRATADO,1
M,0.991358,5.74348,0.689873,602.467851,59,CONTRATADO,1
M,0.972574,6.251627,0.648485,500.026638,59,CONTRATADO,1
M,0.948756,6.635219,0.604598,586.091993,59,CONTRATADO,1
M,0.904255,5.541055,0.661157,593.235197,59,CONTRATADO,1
M,0.709211,6.499826,0.650538,481.863839,59,CONTRATADO,1
F,0.99902,1.825598,0.649351,723.0,61,NO ESPECIFICADO,0
F,0.999583,3.375046,0.666667,668.041667,61,NO ESPECIFICADO,0
F,0.948127,4.894295,0.574209,550.696054,61,NO ESPECIFICADO,0
F,0.995274,4.889683,0.631737,649.826408,61,NO ESPECIFICADO,0
F,0.960163,4.184262,0.589971,638.97079,61,NO ESPECIFICADO,0
F,0.869767,4.510417,0.594444,597.43097,61,NO ESPECIFICADO,0
F,0.765942,0.0,0.0,574.007692,61,NO ESPECIFICADO,0
M,0.868778,2.940574,4.122222,338.991379,60,CONTRATADO,1
M,0.941263,4.936483,4.171875,298.666667,60,CONTRATADO,1
M,0.5,3.739058,0.777778,557.421053,62,NO ESPECIFICADO,0
M,0.353205,4.122339,0.604651,533.0625,62,NO ESPECIFICADO,0
F,0.945578,0.0,0.528,692.263158,63,RENUNCIA,0
F,0.943817,4.133347,0.602273,637.047619,63,RENUNCIA,0
F,0.986364,3.994393,0.568966,678.625,63,RENUNCIA,0
F,0.333333,8.716758,0.565217,616.180556,63,RENUNCIA,0
M,1.0,2.375276,0.615385,543.870968,64,NO ESPECIFICADO,0
M,0.998889,5.01199,0.486842,488.194861,64,NO ESPECIFICADO,0
F,0.988492,3.196626,0.48951,480.200495,65,NO ESPECIFICADO,0
F,0.762202,4.857252,0.495413,629.873684,65,NO ESPECIFICADO,0
F,0.997287,3.367978,0.435897,644.040385,66,CONTRATADO,1
F,0.970952,0.0,0.670911,375.736842,67,CONTRATADO,1
F,0.896667,7.395387,0.698947,574.0,67,CONTRATADO,1
F,0.951515,7.104421,0.659878,461.85,67,CONTRATADO,1
F,0.932479,8.064294,0.655172,485.656693,67,CONTRATADO,1
F,0.969231,5.950184,0.678776,445.354167,67,CONTRATADO,1
F,1.0,6.400121,0.685484,469.58209,67,CONTRATADO,1
F,0.951786,6.452394,0.697087,488.394794,67,CONTRATADO,1
F,0.953333,5.117571,0.66087,447.521087,67,CONTRATADO,1
F,1.0,1.97059,1.0,772.384615,68,NO ESPECIFICADO,0
F,0.583333,3.943347,0.555556,698.859375,68,NO ESPECIFICADO,0
M,1.0,2.58817,0.375,643.192308,69,CONTRATADO,1
M,0.999479,3.557136,0.610169,574.639937,69,CONTRATADO,1
M,0.999784,4.189294,0.612698,597.172449,69,CONTRATADO,1
F,1.0,1.969905,0.4375,453.936508,70,NO ESPECIFICADO,0
F,0.996875,5.661121,0.521898,479.304665,70,NO ESPECIFICADO,0
F,0.905303,5.421179,0.475,496.217765,70,NO ESPECIFICADO,0
M,1.0,3.37949,0.727273,607.217391,71,NO ESPECIFICADO,0
M,0.898227,3.428793,0.490196,553.795359,71,NO ESPECIFICADO,0
M,0.25,0.0,0.333333,749.0,72,SIN HORAS DE CONEXIÓN,0
M,0.681667,1.209039,0.375,733.764706,73,NO ESPECIFICADO,0
M,0.515385,1.967949,0.333333,857.861111,73,NO ESPECIFICADO,0
F,0.992222,2.484955,0.6,599.0,74,CONTRATADO,1
F,0.997386,3.705803,0.498471,530.045455,74,CONTRATADO,1
F,0.948907,6.108949,0.548209,505.896774,74,CONTRATADO,1
F,0.998333,7.319141,0.468872,424.965795,74,CONTRATADO,1
F,0.984177,7.023068,0.541958,441.700189,74,CONTRATADO,1
F,1.0,0.0,3.87234,0.0,75,NO ESPECIFICADO,0
F,0.93,0.0,4.625,0.0,75,NO ESPECIFICADO,0
F,0.990041,7.156967,0.61,432.064452,74,CONTRATADO,1
F,0.955405,7.449982,0.62268,425.006727,74,CONTRATADO,1
F,0.964444,3.894141,0.625514,576.655028,76,CONTRATADO,1
F,0.999158,4.989638,0.614035,579.010218,76,CONTRATADO,1
F,0.957277,5.924028,0.585366,441.397727,76,CONTRATADO,1
M,0.954275,0.0,4.270833,0.0,77,NO ESPECIFICADO,0
M,0.890593,0.0,4.259259,0.0,77,NO ESPECIFICADO,0
M,0.959462,0.0,4.385827,0.0,77,NO ESPECIFICADO,0
M,0.999872,3.993333,4.240741,292.826923,78,DESVINCULACIÓN/AUSENTISMO,0
M,0.990793,3.471319,4.223022,233.541494,78,DESVINCULACIÓN/AUSENTISMO,0
F,0.98516,5.657926,0.573529,440.187729,76,CONTRATADO,1
F,0.786667,1.732291,0.444444,848.857143,79,CONTRATADO,1
F,0.990722,2.861329,0.590444,662.177852,79,CONTRATADO,1
F,0.990675,4.187994,0.560831,615.829524,79,CONTRATADO,1
M,0.998423,4.703876,0.592287,450.481982,80,NO ESPECIFICADO,0
M,0.9525,7.453588,0.594104,430.297014,80,NO ESPECIFICADO,0
M,0.793103,7.393658,0.524862,397.001859,80,NO ESPECIFICADO,0
M,1.0,8.536343,0.490909,345.198606,80,NO ESPECIFICADO,0
M,0.991553,0.0,0.495536,628.85,81,NO ESPECIFICADO,0
M,0.954722,2.749064,4.153846,235.296296,78,DESVINCULACIÓN/AUSENTISMO,0
M,0.889766,0.0,4.5,292.263345,82,DESVINCULACIÓN/AUSENTISMO,0
M,0.624707,3.002302,4.333333,310.292135,82,DESVINCULACIÓN/AUSENTISMO,0
M,0.569415,2.752808,4.152174,233.911565,82,DESVINCULACIÓN/AUSENTISMO,0
M,0.826111,4.040404,3.857143,335.347826,82,DESVINCULACIÓN/AUSENTISMO,0
M,0.0,0.0,0.0,222.1,82,DESVINCULACIÓN/AUSENTISMO,0
F,0.998041,0.0,4.357143,387.559028,83,CONTRATADO,1
F,0.926566,3.630001,4.219512,289.946004,83,CONTRATADO,1
F,0.777894,3.10673,4.128205,256.459854,83,CONTRATADO,1
F,0.878194,4.497135,4.134409,238.660305,83,CONTRATADO,1
F,0.850881,3.856951,4.183333,232.0,83,CONTRATADO,1
F,0.807563,4.697695,4.077922,261.569767,83,CONTRATADO,1
F,0.839753,3.580305,3.858491,244.90458,83,CONTRATADO,1
F,0.810964,4.948726,4.403226,274.449612,83,CONTRATADO,1
M,0.981961,5.069737,0.592342,586.565217,81,NO ESPECIFICADO,0
M,0.988406,4.216752,0.462687,567.5,81,NO ESPECIFICADO,0
F,0.912381,5.12052,0.66474,550.778846,84,NO ESPECIFICADO,0
F,0.0,1.793722,0.75,605.666667,85,ABANDONO LABORAL,0
M,0.15,0.0,0.0,1263.0,86,SIN HORAS DE CONEXIÓN,0
F,1.0,0.567586,0.333333,1189.285714,87,NO ESPECIFICADO,0
F,0.818239,1.598314,0.486111,1077.873362,87,NO ESPECIFICADO,0
F,0.489147,2.465464,0.438596,1033.731429,87,NO ESPECIFICADO,0
F,0.881,0.0,0.556338,556.8,88,CONTRATADO,1
F,0.915646,5.162546,0.597561,548.588235,88,CONTRATADO,1
F,0.970139,6.295459,0.667742,522.607143,88,CONTRATADO,1
F,0.786548,0.0,4.092593,0.0,89,CONTRATADO,1
F,0.956522,0.0,4.589744,0.0,89,CONTRATADO,1
F,0.867594,0.0,4.532164,0.0,89,CONTRATADO,1
F,0.863678,12.977516,4.669811,0.0,89,CONTRATADO,1
F,0.960252,38.091338,4.671642,0.0,89,CONTRATADO,1
F,0.969512,4.256847,4.666667,0.0,89,CONTRATADO,1
F,1.002975,4.649307,4.630137,0.0,89,CONTRATADO,1
F,0.90963,5.470046,3.985075,0.0,89,CONTRATADO,1
F,0.879424,6.160226,0.650206,496.509983,88,CONTRATADO,1
F,0.824603,5.525216,0.65534,515.656968,88,CONTRATADO,1
F,0.990222,6.404193,0.647799,547.677966,88,CONTRATADO,1
F,0.949778,5.606948,0.608696,572.620412,88,CONTRATADO,1
F,0.933333,6.188326,0.605809,504.382307,88,CONTRATADO,1
F,0.996667,2.674932,0.638889,734.829268,90,NO ESPECIFICADO,0
F,0.923077,4.231875,0.570513,706.550607,90,NO ESPECIFICADO,0
F,0.895,1.411656,0.472222,724.90625,91,RENUNCIA,0
M,0.989706,2.877203,0.375,612.25625,92,NO ESPECIFICADO,0
M,0.992754,4.685338,0.46875,563.052632,92,NO ESPECIFICADO,0
M,0.896667,2.844726,0.65,391.886364,93,NO ESPECIFICADO,0
M,0.889815,5.303474,0.542751,322.471063,93,NO ESPECIFICADO,0
M,0.737374,3.70635,0.588235,422.261719,93,NO ESPECIFICADO,0
M,0.890816,0.0,0.522059,582.058824,94,NO ESPECIFICADO,0
M,0.959711,6.540032,0.646985,443.586207,94,NO ESPECIFICADO,0
M,1.0,6.439352,0.637306,456.259259,94,NO ESPECIFICADO,0
M,0.968548,7.081611,0.6,455.985994,94,NO ESPECIFICADO,0
M,0.897175,4.86491,0.548638,435.161871,94,NO ESPECIFICADO,0
M,0.995313,5.137548,0.47561,415.674952,94,NO ESPECIFICADO,0
M,0.776667,6.679745,0.535714,438.085714,94,NO ESPECIFICADO,0
M,0.0,3.09298,4.571429,0.0,95,NO ESPECIFICADO,0
M,0.962449,2.227252,4.578947,0.0,95,NO ESPECIFICADO,0
M,0.07706,1.01983,0.0,0.0,95,NO ESPECIFICADO,0
M,0.475694,1.979109,0.0,0.0,95,NO ESPECIFICADO,0
F,0.0,0.0,4.416667,389.265306,96,RENUNCIA VOLUNTARIA,0
F,0.943944,4.249208,4.215094,263.70138,96,RENUNCIA VOLUNTARIA,0
F,0.859311,4.045697,4.038462,230.400871,96,RENUNCIA VOLUNTARIA,0
F,0.619282,3.673941,4.4,262.071429,96,RENUNCIA VOLUNTARIA,0
F,0.875139,5.128205,5.0,324.5,96,RENUNCIA VOLUNTARIA,0
F,0.858318,3.136127,4.265625,337.432099,97,DESVINCULACIÓN/AUSENTISMO,0
F,0.416648,3.421173,4.375,250.126984,97,DESVINCULACIÓN/AUSENTISMO,0
F,0.197292,2.531646,3.0,267.333333,97,DESVINCULACIÓN/AUSENTISMO,0
M,0.829837,0.0,4.362445,270.228041,98,BAJO PERFOMANCE,0
F,0.0,0.0,4.181818,423.625,99,CONTRATADO,1
F,0.974538,3.796333,4.192453,307.617949,99,CONTRATADO,1
F,0.948039,0.0,0.572391,578.608696,100,NO ESPECIFICADO,0
F,0.951111,6.069211,0.626151,499.826087,100,NO ESPECIFICADO,0
F,0.954583,6.161355,0.574074,497.72,100,NO ESPECIFICADO,0
F,0.33125,9.162562,0.333333,522.789474,100,NO ESPECIFICADO,0
F,0.99899,2.204055,0.5125,746.53872,101,NO ESPECIFICADO,0
F,0.983013,3.860247,0.410138,653.078189,101,NO ESPECIFICADO,0
F,0.964124,4.081515,0.539749,639.097944,101,NO ESPECIFICADO,0
F,0.859028,3.329067,0.493671,667.383212,101,NO ESPECIFICADO,0
F,0.0,0.0,0.0,544.25,102,RENUNCIA,0
M,0.974561,2.194297,0.622222,589.583333,103,NO ESPECIFICADO,0
M,0.9825,3.970143,0.55597,542.0,103,NO ESPECIFICADO,0
