SEXO,ESTADO,ADH,PD,CSAT,AHT,email_identifier,PERFORMANCE_GROUP,Extroversion,Agreeableness,Conscientiousness,EmotionalStability,OpennessToExperience
M,INACTIVO,0.959462,0.0,4.385827,0.0,77,1.0,,,,,
M,INACTIVO,0.954722,2.749064,4.153846,235.296296,78,1.0,,,,,
F,ACTIVO,0.990675,4.187994,0.560831,615.829524,79,0.0,,,,,
M,INACTIVO,1.0,8.536343,0.490909,345.198606,80,0.0,,,,,
M,INACTIVO,0.988406,4.216752,0.462687,567.5,81,0.0,,,,,
M,INACTIVO,0.0,0.0,0.0,222.1,82,0.0,,,,,
F,ACTIVO,0.810964,4.948726,4.403226,274.449612,83,0.0,,,,,
F,INACTIVO,0.912381,5.12052,0.66474,550.778846,84,1.0,,,,,
F,INACTIVO,0.0,1.793722,0.75,605.666667,85,1.0,,,,,
M,INACTIVO,0.15,0.0,0.0,1263.0,86,1.0,,,,,
F,INACTIVO,0.489147,2.465464,0.438596,1033.731429,87,0.0,,,,,
F,ACTIVO,0.933333,6.188326,0.605809,504.382307,88,0.0,,,,,
F,ACTIVO,0.90963,5.470046,3.985075,0.0,89,0.0,29.0,44.0,48.0,41.0,44.0
F,INACTIVO,0.923077,4.231875,0.570513,706.550607,90,0.0,,,,,
F,INACTIVO,0.895,1.411656,0.472222,724.90625,91,1.0,,,,,
M,INACTIVO,0.992754,4.685338,0.46875,563.052632,92,1.0,,,,,
M,INACTIVO,0.737374,3.70635,0.588235,422.261719,93,0.0,,,,,
M,INACTIVO,0.776667,6.679745,0.535714,438.085714,94,0.0,,,,,
M,INACTIVO,0.475694,1.979109,0.0,0.0,95,0.0,,,,,
F,INACTIVO,0.875139,5.128205,5.0,324.5,96,0.0,,,,,
F,INACTIVO,0.197292,2.531646,3.0,267.333333,97,1.0,,,,,
M,INACTIVO,0.829837,0.0,4.362445,270.228041,98,1.0,,,,,
F,ACTIVO,0.998429,26.526857,4.121339,208.247379,99,0.0,,,,,
F,INACTIVO,0.33125,9.162562,0.333333,522.789474,100,0.0,,,,,
F,INACTIVO,0.859028,3.329067,0.493671,667.383212,101,0.0,,,,,
F,INACTIVO,0.0,0.0,0.0,544.25,102,1.0,,,,,
M,INACTIVO,0.25,0.0,0.0,518.0,103,0.0,,,,,
F,ACTIVO,0.974806,5.524591,0.543568,497.041835,104,0.0,,,,,
M,INACTIVO,0.995775,4.814215,3.876543,206.335329,105,0.0,,,,,
F,INACTIVO,0.161806,3.092784,5.0,354.833333,106,1.0,,,,,
F,ACTIVO,0.904267,4.046121,4.584,222.951768,107,0.0,,,,,
M,ACTIVO,0.933949,5.060706,4.177215,155.547655,108,0.0,,,,,
F,ACTIVO,0.992453,6.852972,0.63807,409.348107,109,0.0,,,,,
F,INACTIVO,0.959877,2.167315,0.492308,804.327103,110,1.0,,,,,
F,ACTIVO,0.99883,3.544987,0.555024,507.651652,111,1.0,,,,,
M,ACTIVO,0.920492,5.568866,0.636656,468.919087,112,0.0,,,,,
M,INACTIVO,0.327698,3.764774,4.035714,212.977528,113,1.0,,,,,
F,INACTIVO,0.397778,8.784139,4.590909,0.0,114,1.0,,,,,
F,INACTIVO,0.552905,4.345161,4.166667,287.151515,115,0.0,,,,,
M,INACTIVO,0.745417,2.98715,4.25,284.734694,116,1.0,,,,,
M,INACTIVO,0.0,0.0,3.5,460.333333,117,1.0,,,,,
F,INACTIVO,0.760402,3.041124,4.21875,180.327381,118,1.0,,,,,
F,INACTIVO,0.76088,3.717493,4.45,297.342105,119,1.0,,,,,
F,INACTIVO,0.975806,4.456883,0.516129,666.968958,120,0.0,,,,,
F,INACTIVO,0.328727,0.0,3.0,0.0,121,1.0,,,,,
F,INACTIVO,0.906061,7.41162,0.460526,513.470588,122,0.0,,,,,
M,INACTIVO,0.866667,0.0,0.0,484.721854,123,0.0,,,,,
M,ACTIVO,0.863248,5.356508,0.632432,496.572464,124,0.0,33.0,46.0,39.0,34.0,46.0
F,ACTIVO,0.963333,4.170643,0.52795,602.91002,125,0.0,30.0,40.0,38.0,29.0,33.0
M,ACTIVO,0.998291,5.757102,0.638655,487.925419,126,0.0,,,,,
F,ACTIVO,0.997452,5.220707,4.287356,0.0,127,0.0,,,,,
M,INACTIVO,0.440741,3.341806,0.428571,645.28972,128,0.0,,,,,
F,INACTIVO,0.0,3.293112,0.553957,566.072727,129,1.0,,,,,
F,INACTIVO,0.791135,3.941205,0.587097,506.949515,130,0.0,,,,,
F,INACTIVO,0.483871,2.297291,0.622222,431.814516,131,1.0,,,,,
M,INACTIVO,0.636111,2.715627,0.666667,569.724138,132,1.0,,,,,
F,INACTIVO,0.0,0.0,0.5,566.6,133,1.0,,,,,
F,INACTIVO,0.956,4.188005,0.541284,734.229268,134,1.0,,,,,
M,INACTIVO,0.799889,2.75,3.636364,225.138889,135,1.0,,,,,
F,ACTIVO,1.020628,4.750346,4.225071,158.332071,136,0.0,,,,,
M,INACTIVO,0.2875,1.516755,0.2,530.823529,137,1.0,,,,,
M,INACTIVO,0.4875,2.310137,0.6,701.857143,138,0.0,,,,,
F,INACTIVO,0.81891,2.11457,0.494624,552.706667,139,1.0,,,,,
M,INACTIVO,1.0,1.904762,0.666667,575.823529,140,1.0,,,,,
F,INACTIVO,0.750694,3.065855,0.517241,574.558011,141,1.0,,,,,
F,INACTIVO,0.0,0.0,1.0,496.8,142,1.0,,,,,
F,INACTIVO,0.758974,2.001542,0.431818,587.642857,143,1.0,,,,,
M,INACTIVO,0.899167,7.610855,0.525,446.25,144,0.0,,,,,
M,INACTIVO,0.995238,3.884422,0.37037,414.057851,145,0.0,,,,,
F,ACTIVO,0.96468,2.278978,4.418182,0.0,146,0.0,34.0,47.0,49.0,40.0,42.0
F,INACTIVO,0.788401,2.787313,3.615385,0.0,147,0.0,,,,,
F,ACTIVO,0.98719,3.542068,2.9,0.0,148,0.0,36.0,42.0,45.0,43.0,41.0
F,INACTIVO,0.427778,4.330454,0.65,545.014706,149,0.0,,,,,
F,INACTIVO,1.0,3.20552,0.45122,478.516949,150,1.0,,,,,
F,INACTIVO,0.722581,9.978211,0.537778,572.96817,151,0.0,,,,,
F,INACTIVO,0.992593,5.756978,0.5,445.470238,152,0.0,,,,,
M,INACTIVO,0.980583,4.869851,4.064103,0.0,153,0.0,,,,,
F,INACTIVO,0.788333,1.382906,0.846154,544.436364,154,1.0,,,,,
M,ACTIVO,0.994928,3.764312,0.614618,617.909611,155,1.0,28.0,42.0,48.0,43.0,41.0
F,INACTIVO,0.491667,1.395349,0.333333,938.333333,156,0.0,,,,,
M,INACTIVO,0.0,0.0,0.666667,453.8,157,1.0,,,,,
M,INACTIVO,0.5,2.412235,0.666667,552.535714,158,1.0,,,,,
F,INACTIVO,0.179167,1.388889,0.0,673.5,159,0.0,,,,,
F,INACTIVO,0.375,0.0,0.5,1211.8,160,0.0,,,,,
F,INACTIVO,0.725758,3.150196,0.346154,720.443299,161,0.0,,,,,
F,INACTIVO,0.0,4.633378,3.888889,0.0,162,1.0,,,,,
M,ACTIVO,0.976733,4.593796,4.113744,180.029661,163,0.0,35.0,42.0,42.0,37.0,40.0
F,INACTIVO,0.841429,3.724203,0.47541,887.060209,164,0.0,,,,,
F,INACTIVO,0.946528,6.267972,0.461039,535.72,165,0.0,,,,,
F,ACTIVO,0.98312,4.751506,0.621083,661.406989,166,1.0,,,,,
M,INACTIVO,0.937745,3.708379,0.462151,591.952088,167,1.0,,,,,
M,ACTIVO,0.911446,5.229732,0.55335,490.937402,168,0.0,,,,,
M,INACTIVO,0.872303,4.838221,4.15,178.091346,169,0.0,,,,,
F,INACTIVO,1.0,0.0,0.388889,665.6,170,1.0,,,,,
M,INACTIVO,0.744792,3.830489,0.571429,666.8375,171,0.0,,,,,
M,ACTIVO,0.988113,10.883204,4.082136,0.0,172,1.0,,,,,
M,ACTIVO,0.634823,10.148645,3.95,0.0,173,0.0,,,,,
F,ACTIVO,0.9877,12.334286,4.268031,0.0,174,0.0,36.0,39.0,49.0,44.0,42.0
F,ACTIVO,0.977988,1.248098,4.698113,0.0,175,0.0,,,,,
F,INACTIVO,0.49797,4.437987,3.884615,0.0,176,0.0,,,,,
F,ACTIVO,0.966116,12.218618,4.211826,0.0,177,0.0,,,,,
F,ACTIVO,0.624048,3.022896,4.347826,210.761194,178,0.0,,,,,
M,ACTIVO,0.997654,1.322076,4.393939,0.0,179,0.0,27.0,40.0,38.0,40.0,35.0
F,ACTIVO,0.963385,10.725407,4.098608,0.0,180,1.0,36.0,47.0,47.0,42.0,41.0
